수집일,수집시각,사이트,카테고리,순위,브랜드,상품명,가격,광고여부,링크,이미지
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,1,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 8입(7+1) - 추석 기프트 에디션 (공식수입),34000,N,https://gift.kakao.com/product/2301047,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260831092457_c9ec264b75c847a2a3e6db3fc0b1959c.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,2,정관장,면역력 선물 [정관장] 에브리타임 레귤러 (10ml x 30포) _ 대한민국 명품 홍삼정농축액 함유,57500,N,https://gift.kakao.com/product/556025,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260914095602_516280ed294a4455ab347194a2d78649.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,3,옵티젠,"""한국인 맞춤 명품 비타민"" 옵티젠 이뮨 멀티비타민&미네랄 10입+1입 / 1박스 (+1입 추가 GIFT/선물패키지)",26900,N,https://gift.kakao.com/product/7608679,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260907094243_6872802604f04e1aad5886d9e457af18.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,4,오쏘몰,"'3입 증정' ""독일 명품 비타민"" 오쏘몰 이뮨 멀티비타민&미네랄 30+3입 - 추석 기프트 에디션",105000,N,https://gift.kakao.com/product/2484405,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260907082858_3910675c66b1495890273ec4879739ea.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,5,정관장,[정관장] 활기력부스터 리미티드에디션 + [증정] 아미노 활기력샷 3입,52500,N,https://gift.kakao.com/product/6371333,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260908081851_4d0550ed1a954951bdb93e57359b3454.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,6,정관장,[정관장] 활기력 (20ml x 10병),24650,N,https://gift.kakao.com/product/999713,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250707082607_8bbbfe2e4a3641e3996324de4c0e3909.jpeg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,7,정관장,에너지선물 [정관장] 활기력 에너지박스 (30ml x 16병) + [증정] 보조 배터리,39900,N,https://gift.kakao.com/product/7066484,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260831103508_1e6479ce87f94fd586baf77c707ce473.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,8,닥터블릿,"""올인원 명품비타민"" 이뮨비타민 올인원 멀티비타민&미네랄 프로 30병+쇼핑백증정",52900,N,https://gift.kakao.com/product/10903147,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260601193534_8d89165f65364cb0b3c77a98481c17d6.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,9,뉴트리포유,명품 비타민 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션,19900,N,https://gift.kakao.com/product/10056171,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20260219100848_1c2cc8073bd44eaab9f09d6b8fb8f34c.jpg
2026-09-18,2026-09-18 14:06,카카오선물하기,건강식품·영양제,10,정관장,[정관장] 에브리타임 (10ml x 30포) _ 대한민국 명품 홍삼,96300,N,https://gift.kakao.com/product/1299642,https://img1.kakaocdn.net/thumb/C175x175@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250911102608_c973ad48b2bb4d54a3a6e46a60a34a13.jpg
